GroupID,membershiptypeID,transactionprice,transactionpurchasedate,membershiptype
60812,03cf21b2-b747-4b44-8197-050504c259cb,£15.00,8/25/12 0:00,2012/13 JUNIOR BLUES - NON SEASON TICKET
61414,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 18:34,2024/25 Super Blues Membership
61414,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,10/16/23 18:30,2023/24 Super Blues Membership
61414,2ce813f9-8818-4928-af89-4d9daa60285b,£25.00,7/31/10 0:00,2010/11 SILVER CLUB MEMBERSHIP
64809,467a8775-c919-ef11-8444-84857200de01,£39.99,7/29/24 12:38,2024/25 Super Blues Membership
64809,4f9de90d-c188-4139-9171-fe6bdf90d775,£29.99,6/20/15 0:00,2015/16 SILVER MEMBERSHIP (NON S/T)
64809,0db5795e-caa9-433c-be9c-09d5dd9e03de,£29.99,12/9/14 0:00,2014/15 SILVER MEMBERSHIP (NON S/T)
69948,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 15:17,2024/25 Super Blues Membership
69948,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,9/30/23 14:21,2023/24 Super Blues Membership
70411,467a8775-c919-ef11-8444-84857200de01,£39.99,7/17/24 9:05,2024/25 Super Blues Membership
70411,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/30/23 8:47,2023/24 Super Blues Membership
73623,467a8775-c919-ef11-8444-84857200de01,£34.99,7/17/24 13:12,2024/25 Super Blues Membership
73623,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/14/23 11:53,2023/24 Super Blues Membership
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,5/11/25 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,6/12/25 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,10/30/24 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,12/1/24 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,7/27/24 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,3/7/25 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,4/9/25 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,6/25/24 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,5/25/24 18:45,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,1/2/25 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,2/3/25 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,9/29/24 0:30,Friend of the Foundation - £10 a Month
74293,2933fa44-e3f0-ee11-8444-9e314595d70e,£10.00,8/28/24 0:30,Friend of the Foundation - £10 a Month
74293,467a8775-c919-ef11-8444-84857200de01,£34.99,7/16/24 16:28,2024/25 Super Blues Membership
74293,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/13/23 14:29,2023/24 Super Blues Membership
74293,bcd91c0e-35c6-ec11-8396-e571432a47fd,£19.99,5/30/22 16:56,2022/23 - Gold Membership
74293,8dbc7499-0a9d-eb11-82e4-d73c58c895cf,£19.99,6/15/21 18:39,2021/22 - Gold Membership (S/T Holders)
74293,c7c7e8c9-e063-44cb-95ee-7115247c69e0,£19.99,5/20/19 0:00,2019/20 GOLD MEMBERSHIP(S/T HOLDERS)
74293,cc23d5e9-710f-4224-8f51-af1c35cf2336,£19.99,3/25/15 0:00,2015/16 GOLD MEMBERSHIP (S/T HOLDERS)
